ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
EST,Estonia,281,4,34,74,18,12,0,423,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ETH,Ethiopia,4500,551,143,7595,3357,11,711,16157,
FJI,Fiji,687,388,32,668,325,15,0,2115,
FIN,Finland,264,5,241,0,31,1,0,542,
FRA,France,2333,183,1487,53,189,13,0,4258,
GUF,French Guiana,3,12,0,0,0,0,0,15,
PYF,French Polynesia,32,dw,dw,0,dw,0,0,37,
GAB,Gabon,57,dw,14,dw,7,0,0,85,
GMB,Gambia,500,25,31,235,25,81,0,897,
GEO,Georgia,805,21,173,775,212,17,0,2003,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
DEU,Germany,5210,218,2197,271,511,29,0,8436,
GHA,Ghana,6759,738,370,342,1129,29,28,9367,
GRC,Greece,665,54,252,86,62,5,0,1124,
GRD,Grenada,722,256,dw,dw,0,6,0,1068,
GLP,Guadeloupe,36,13,dw,dw,0,1,0,53,
GTM,Guatemala,9144,2702,1304,1559,12,9425,4093,24146,
GIN,Guinea,429,26,28,563,34,30,0,1110,
GNB,Guinea-Bissau,11,0,dw,10,dw,0,0,25,
GUY,Guyana,4156,4954,376,17,33,16,22,9552,
HTI,Haiti,8937,3624,194,6101,0,3372,313,22228,
HND,Honduras,4790,1921,894,299,6,267,0,8177,
HKG,Hong Kong,1084,1617,470,20,54,11,26,3256,
HUN,Hungary,1212,33,338,29,76,16,10,1704,
ISL,Iceland,101,dw,36,0,dw,0,0,145,
IND,India,22608,14525,17169,6841,30,196,307,61369,
IDN,Indonesia,1855,185,463,2163,151,52,0,4869,
IRN,Iran,4364,2062,623,6316,547,35,12,13947,
IRQ,Iraq,1087,574,104,2540,28,4,0,4337,
IRL,Ireland,1391,27,428,3,52,5,0,1906,
ISR,Israel,3631,312,1779,83,113,25,0,5943,
ITA,Italy,2103,146,814,57,87,8,0,3215,
JAM,Jamaica,17827,6218,873,16,0,42,56,24976,
JPN,Japan,5658,148,2134,30,281,14,42,8265,
JOR,Jordan,2704,872,273,127,36,26,0,4038,
KAZ,Kazakhstan,1203,18,71,560,122,107,580,2081,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
KEN,Kenya,2816,188,816,3412,1534,13,14,8779,
KOR,South Korea,11040,2412,10886,14,6,28,1381,24386,Includes data for North Korea (combined with South Korea in datasets prior to 2009).
KWT,Kuwait,488,232,360,125,22,3,0,1230,
KGZ,Kyrgyzstan,339,15,38,273,86,35,12,786,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LAO,Laos,1071,138,dw,1628,dw,12,0,2893,
LVA,Latvia,543,27,76,167,51,28,25,892,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LBN,Lebanon,2160,1004,559,278,61,21,0,4083,
LSO,Lesotho,12,dw,dw,0,0,0,0,19,
LBR,Liberia,1298,224,73,4989,294,9,338,6887,
LBY,Libya,139,22,41,44,25,0,0,271,
LTU,Lithuania,1217,55,193,52,360,8,13,1885,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LUX,Luxembourg,18,0,10,0,0,0,0,28,
MAC,Macau,38,132,9,dw,dw,1,0,189,
MKD,Macedonia,726,148,95,203,131,14,0,1317,
MDG,Madagascar,38,10,13,5,4,2,0,72,
MWI,Malawi,79,10,21,7,14,0,0,131,
MYS,Malaysia,1134,218,785,104,29,11,0,2281,
MLI,Mali,272,11,37,45,15,28,0,408,
MLT,Malta,48,dw,14,3,dw,1,0,70,
MHL,Marshall Islands,dw,0,dw,0,0,0,0,53,
MTQ,Martinique,19,dw,4,0,dw,1,0,30,
MRT,Mauritania,73,5,4,632,6,0,0,720,
MUS,Mauritius,63,4,20,16,4,1,0,108,
MEX,Mexico,94663,62998,8864,491,16,6721,76,173753,
FSM,Federated States of Micronesia,13,0,0,0,0,0,0,13,
MDA,Moldova,443,24,83,1971,118,397,14,3036,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
MNG,Mongolia,277,6,83,36,96,0,19,498,
MSR,Montserrat,55,25,dw,dw,0,0,0,90,
MAR,Morocco,2832,233,317,29,1523,15,12,4949,
MOZ,Mozambique,54,dw,18,dw,0,0,0,78,
NAM,Namibia,37,0,15,dw,dw,0,0,56,
NPL,Nepal,668,88,864,395,1715,3,61,3733,
NLD,Netherlands,943,47,579,14,55,13,0,1651,
NZL,New Zealand,716,dw,269,dw,90,4,0,1100,
NIC,Nicaragua,2391,805,83,303,9,554,45,4145,
NER,Niger,101,0,dw,10,dw,2,0,116,
NGA,Nigeria,7379,1217,1123,740,2942,58,53,13459,
NOR,Norway,338,dw,113,dw,18,2,0,481,
OMN,Oman,22,10,114,3,6,0,0,155,
PAK,Pakistan,7966,3777,3136,2408,9,122,47,17418,
PAN,Panama,1845,363,143,54,6,7,14,2418,
PNG,Papua New Guinea,16,0,9,0,4,1,0,30,
PRY,Paraguay,465,55,184,dw,dw,1,0,719,
PER,Peru,13536,2790,2305,1644,1264,179,38,21718,
PHL,Philippines,34354,16020,23733,272,10,218,252,74607,
POL,Poland,8077,3051,3710,49,2100,65,67,17052,
PRT,Portugal,846,154,392,6,5,6,0,1409,
QAT,Qatar,53,47,94,21,11,0,0,226,
ROU,Romania,4250,328,956,362,1207,34,0,7137,
RUS,Russia,11754,311,1643,4751,270,688,3710,19417,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.5% of global US immigration in this year. The included former Soviet Union data accounts for approximately 32% of the shown Russian data."
RWA,Rwanda,36,dw,dw,429,18,0,0,502,
KNA,Saint Kitts and Nevis,257,184,dw,0,dw,0,0,458,
LCA,Saint Lucia,905,219,dw,0,dw,1,0,1212,
VCT,Saint Vincent and the Grenadines,475,246,dw,dw,0,3,0,756,
WSM,Samoa,252,24,3,0,0,4,0,283,
SAU,Saudi Arabia,525,199,533,220,56,9,0,1542,
SEN,Senegal,957,75,93,137,87,18,0,1367,
SRB,Serbia,2091,131,218,3194,220,37,0,5891,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.5% of global US immigration in this year. The included former country's data accounts for approximately 100% of the displayed Serbian data."
SYC,Seychelles,6,4,dw,dw,dw,0,0,15,
SLE,Sierra Leone,942,124,88,2260,145,13,18,3572,
SGP,Singapore,461,58,434,16,19,9,0,997,
SVK,Slovakia,581,62,335,9,122,2,0,1111,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Czechia for inclusion of this data."
SVN,Slovenia,81,dw,21,9,dw,0,0,115,
SOM,Somalia,355,15,11,9045,36,0,0,9462,
ZAF,South Africa,1739,71,1204,54,129,4,12,3201,
ESP,Spain,1253,53,503,125,26,11,0,1971,
LKA,Sri Lanka,631,195,490,549,318,9,11,2192,
SDN,Sudan,413,39,32,4711,303,6,0,5504,
SUR,Suriname,172,65,51,23,0,3,0,314,
SWZ,Swaziland,7,dw,dw,0,dw,0,0,11,
SWE,Sweden,961,28,325,17,40,5,0,1376,
CHE,Switzerland,506,35,348,23,65,6,0,983,
SYR,Syria,1524,817,250,287,24,16,0,2918,
TWN,Taiwan,3589,2523,1704,12,241,18,188,8087,
TJK,Tajikistan,99,10,19,83,26,2,0,239,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
TZA,Tanzania,565,67,100,142,69,6,0,949,
THA,Thailand,4969,425,688,5539,52,77,57,11750,
TGO,Togo,409,21,37,501,749,3,0,1720,
TON,Tonga,280,98,dw,dw,37,6,0,437,
TTO,Trinidad and Tobago,5955,1726,1073,14,55,31,0,8854,
TUN,Tunisia,366,10,83,12,39,0,0,510,
TUR,Turkey,2537,254,1149,287,704,10,0,4941,
TKM,Turkmenistan,87,dw,dw,121,31,4,0,248,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
TCA,Turks and Caicos Islands,34,13,3,0,0,2,0,52,
UGA,Uganda,583,79,132,504,69,5,15,1372,
UKR,Ukraine,5076,289,754,5934,3282,1807,463,17142,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ARE,United Arab Emirates,231,112,550,81,24,8,0,1006,
GBR,United Kingdom,9893,671,6409,47,131,56,0,17207,
USA,United States,230,43,15,23,0,22,0,333,
URY,Uruguay,1223,59,263,101,6,12,0,1664,
UZB,Uzbekistan,1111,52,119,1700,928,105,0,4015,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
VEN,Venezuela,6996,565,2308,1274,174,24,0,11341,
VNM,Vietnam,15129,12781,156,1832,3,794,162,30695,
YEM,Yemen,3061,891,36,280,33,7,0,4308,
ZMB,Zambia,436,29,113,60,31,3,15,672,
ZWE,Zimbabwe,541,31,251,161,61,4,0,1049,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
