ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote,
KOS,Kosovo,475,115,10,96,118,0,0,814,,
KWT,Kuwait,382,189,222,217,41,4,0,1055,,
KGZ,Kyrgyzstan,284,34,47,175,245,5,25,790,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
LAO,Laos,753,85,43,36,0,0,0,917,,
LVA,Latvia,366,23,36,5,43,7,156,480,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
LBN,Lebanon,1454,723,400,173,50,13,0,2813,,
LSO,Lesotho,17,0,3,dw,0,dw,0,23,,
LBR,Liberia,1252,309,20,414,1787,13,0,3795,,
LBY,Libya,289,24,43,297,81,0,0,734,,
LTU,Lithuania,506,42,63,5,128,6,11,750,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
LUX,Luxembourg,13,dw,dw,dw,0,0,0,27,,
MAC,Macau,21,41,27,0,10,0,0,99,,
MKD,Macedonia,637,132,62,dw,210,dw,0,1060,,
MDG,Madagascar,29,8,19,0,16,0,0,72,,
MWI,Malawi,79,9,19,46,7,0,0,160,,
MYS,Malaysia,682,152,583,1296,20,16,0,2749,,
MLI,Mali,314,27,15,161,19,51,0,587,,
MLT,Malta,15,dw,dw,26,dw,0,0,58,,
MHL,Marshall Islands,dw,dw,0,0,0,0,21,32,,
MRT,Mauritania,115,19,6,154,dw,dw,0,298,,
MUS,Mauritius,46,6,39,0,dw,dw,0,96,,
MEX,Mexico,97816,41529,6479,726,9,12060,25,158619,,
MDA,Moldova,753,93,100,241,1304,5,0,2496,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
MCO,Monaco,dw,0,dw,0,0,0,0,10,,
MNG,Mongolia,337,31,82,104,66,24,0,644,,
MNE,Montenegro,186,36,5,13,11,0,0,251,"Does not include data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.1% of global US immigration in this year. See Serbia for inclusion of this data.",
MSR,Montserrat,9,5,0,0,0,0,0,14,,
MAR,Morocco,2350,298,131,18,900,13,20,3710,,
MOZ,Mozambique,26,3,21,53,4,0,0,107,,
NAM,Namibia,30,0,14,37,5,0,0,86,,
NPL,Nepal,2161,657,1358,5261,3471,18,0,12926,,
NLD,Netherlands,662,21,565,6,51,4,0,1309,,
NZL,New Zealand,465,20,222,dw,145,dw,0,855,,
NIC,Nicaragua,2167,828,dw,119,dw,142,26,3324,,
NER,Niger,42,dw,dw,0,6,0,0,55,,
NGA,Nigeria,8279,1702,861,144,519,37,151,11542,,
NOR,Norway,201,6,95,3,dw,dw,0,310,,
OMN,Oman,32,dw,30,8,7,dw,0,85,,
PAK,Pakistan,8095,6793,2276,803,11,79,25,18057,,
PLW,Palau,9,dw,dw,0,0,0,0,15,,
PAN,Panama,728,175,95,34,6,14,0,1052,,
PNG,Papua New Guinea,7,0,4,0,0,0,0,11,,
PRY,Paraguay,279,26,54,18,dw,dw,0,382,,
PER,Peru,6651,2536,547,157,8,249,0,10148,,
PHL,Philippines,29955,15695,10545,19,9,255,141,56478,,
POL,Poland,3060,897,837,17,418,46,58,5275,,
PRT,Portugal,536,60,216,10,21,14,0,857,,
QAT,Qatar,70,34,51,14,60,0,0,229,,
ROU,Romania,1980,239,534,97,518,8,0,3376,,
RUS,Russia,5417,446,2114,1076,1758,32,0,10843,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.1% of global US immigration in this year. The included former Soviet Union data accounts for approximately 10.5% of the shown Russian data.",
RWA,Rwanda,75,8,26,444,179,0,0,732,,
KNA,Saint Kitts and Nevis,130,81,7,0,dw,dw,0,222,,
LCA,Saint Lucia,508,188,30,dw,dw,6,0,739,,
VCT,Saint Vincent and the Grenadines,308,78,20,dw,dw,5,11,415,,
WSM,Samoa,198,dw,0,0,0,dw,11,207,,
SAU,Saudi Arabia,717,253,310,192,269,3,0,1744,,
SEN,Senegal,828,111,70,83,102,50,0,1244,,
SRB,Serbia,951,97,161,71,201,0,0,1510,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.1% of global US immigration in this year. The included former country's data accounts for approximately 15.5% of the displayed Serbian data.",
SYC,Seychelles,6,dw,dw,dw,dw,0,0,11,,
SLE,Sierra Leone,889,121,46,111,424,8,24,1599,,
SGP,Singapore,282,47,426,9,12,5,0,781,,
SXM,Sint Maarten,29,13,dw,0,dw,0,0,45,"Does not include data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. See Aruba for inclusion of this data.",
SVK,Slovakia,262,11,91,11,45,4,0,424,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.01% of global US immigration in this year. See Czechia for inclusion of this data.",
SVN,Slovenia,71,dw,29,0,dw,1,0,107,,
SOM,Somalia,986,116,dw,5630,56,dw,0,6796,,
ZAF,South Africa,1286,77,935,332,262,15,32,2907,,
SSD,South Sudan,91,dw,dw,29,3,0,0,127,,
ESP,Spain,1328,108,1114,578,167,8,0,3303,,
LKA,Sri Lanka,552,233,477,238,249,14,0,1763,,
SDN,Sudan,491,99,dw,1975,983,dw,0,3580,,
SUR,Suriname,91,32,8,0,dw,dw,0,134,,
SWZ,Swaziland,14,0,5,0,0,0,0,19,,
SWE,Sweden,581,27,393,12,50,3,0,1066,,
CHE,Switzerland,331,10,251,8,34,6,0,640,,
SYR,Syria,1507,801,250,1137,140,5,0,3840,,
TWN,Taiwan,1950,662,2119,dw,138,dw,55,4888,,
TJK,Tajikistan,188,25,44,61,277,0,0,595,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
TZA,Tanzania,406,59,dw,211,66,dw,0,799,,
THA,Thailand,3288,291,336,3439,25,123,45,7502,,
TGO,Togo,669,155,16,157,537,13,0,1547,,
TON,Tonga,210,103,dw,0,dw,0,0,327,,
TTO,Trinidad and Tobago,2188,651,272,4,53,44,0,3212,,
TUN,Tunisia,351,20,56,45,41,5,0,518,,
TUR,Turkey,1670,222,1041,142,1108,18,0,4201,,
TKM,Turkmenistan,68,dw,20,35,90,dw,0,226,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
TCA,Turks and Caicos Islands,30,3,dw,dw,0,2,0,38,,
UGA,Uganda,686,122,135,531,185,5,190,1664,,
UKR,Ukraine,4519,797,881,471,1285,34,265,7987,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
ARE,United Arab Emirates,303,209,312,238,118,13,0,1193,,
GBR,United Kingdom,6481,492,5459,31,92,37,0,12592,,
USA,United States,270,12,43,19,0,26,0,370,,
URY,Uruguay,834,37,115,47,5,40,0,1078,,
UZB,Uzbekistan,805,396,131,306,2318,21,0,3977,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data.",
VEN,Venezuela,4610,731,2207,806,738,52,0,9144,,
VNM,Vietnam,13690,16065,872,148,dw,dw,0,30832,,
YEM,Yemen,2319,577,25,134,136,3,0,3194,,
ZMB,Zambia,272,31,75,44,35,3,0,460,,
ZWE,Zimbabwe,311,60,167,189,42,10,0,779,,
