ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,total,countryNote
CHN,China,31658,17294,19942,12657,28,193,81772,
COL,Colombia,13014,3097,1339,1008,14,138,18610,
COG,Congo (Brazzaville),865,208,39,2840,2839,0,6791,
COD,Congo (Kinshasa),97,6,11,460,46,5,625,
CRI,Costa Rica,1753,148,237,52,3,31,2224,
CIV,Cote d'Ivoire,730,126,36,309,391,25,1617,
HRV,Croatia,254,20,72,13,29,0,388,
CUB,Cuba,4555,4363,17,57036,538,7,66516,
CUW,Curacao,22,4,4,5,0,0,35,"Does not include data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. See Aruba for inclusion of this data."
CYP,Cyprus,80,7,23,9,12,0,131,
CZE,Czechia,487,9,162,5,38,6,712,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.01% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 8.7% of the displayed Czech data."
DNK,Denmark,243,14,243,3,17,1,521,
DJI,Djibouti,54,7,4,191,24,1,281,
DMA,Dominica,136,155,4,0,3,0,298,
DOM,Dominican Republic,32191,28375,330,111,3,151,61161,
ECU,Ecuador,6246,3043,671,235,0,562,10757,
EGY,Egypt,3899,941,881,2826,3476,22,12045,
SLV,El Salvador,12516,6573,1860,897,0,1603,23449,
GNQ,Equatorial Guinea,14,dw,0,dw,0,0,18,
ERI,Eritrea,678,178,29,1247,134,1,2267,
EST,Estonia,140,dw,38,dw,18,0,211,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
ETH,Ethiopia,5372,1993,190,3569,2096,12,13232,
FJI,Fiji,341,296,14,33,181,1,866,
FIN,Finland,215,12,225,0,35,2,489,
FRA,France,2233,186,2418,37,276,9,5159,
PYF,French Polynesia,21,0,dw,0,dw,0,27,
GAB,Gabon,108,dw,9,32,13,dw,165,
GMB,Gambia,850,104,18,242,19,14,1247,
GEO,Georgia,900,142,82,64,445,2,1635,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
DEU,Germany,3019,171,1653,42,409,12,5306,
GHA,Ghana,4962,1151,252,90,478,16,6949,
GRC,Greece,916,59,340,18,117,1,1451,
GRD,Grenada,464,78,29,dw,dw,9,585,
GTM,Guatemala,6295,2438,1530,1162,13,1564,13002,
GIN,Guinea,743,122,16,352,245,23,1501,
GNB,Guinea-Bissau,28,4,dw,dw,0,0,37,
GUY,Guyana,2399,3256,57,21,4,34,5771,
HTI,Haiti,13576,8807,169,948,0,84,23584,
HND,Honduras,8379,2284,1316,469,28,826,13302,
HKG,Hong Kong,801,943,692,25,47,2,2510,
HUN,Hungary,653,23,264,13,94,1,1048,
ISL,Iceland,57,dw,dw,0,0,0,97,
IND,India,24246,18230,20747,1068,28,368,64687,
IDN,Indonesia,1324,187,382,173,37,26,2129,
IRN,Iran,3172,2523,1600,3111,2883,9,13298,
IRQ,Iraq,1310,279,72,15026,103,2114,18904,
IRL,Ireland,993,40,666,4,51,5,1759,
ISR,Israel,2119,174,1704,33,102,10,4142,
ITA,Italy,2106,146,1320,228,273,5,4078,
JAM,Jamaica,16587,5831,823,dw,dw,55,23350,
JPN,Japan,3203,167,1650,8,170,9,5207,
JOR,Jordan,3199,1360,311,284,102,13,5269,
KAZ,Kazakhstan,588,64,155,144,359,0,1310,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
KEN,Kenya,2810,399,423,1574,1039,29,6274,
PRK,North Korea,27,dw,dw,12,0,0,47,
KOR,South Korea,7053,1250,13463,9,7,19,21801,
KOS,Kosovo,605,121,22,91,180,1,1020,
KWT,Kuwait,473,192,197,262,57,5,1186,
KGZ,Kyrgyzstan,328,42,47,201,228,1,847,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
LAO,Laos,720,105,12,18,0,1,856,
LVA,Latvia,264,34,59,dw,31,dw,391,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
LBN,Lebanon,1668,793,349,109,47,5,2971,
LSO,Lesotho,15,dw,0,dw,0,1,19,
LBR,Liberia,1504,326,30,352,1403,4,3619,
LBY,Libya,328,34,66,135,75,4,642,
LTU,Lithuania,476,53,60,dw,140,dw,735,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
LUX,Luxembourg,12,3,16,dw,dw,0,34,
MAC,Macau,28,30,45,0,6,0,109,
MKD,Macedonia,730,204,42,17,266,3,1262,
MDG,Madagascar,42,dw,18,dw,20,0,88,
MWI,Malawi,104,11,23,59,7,1,205,
MYS,Malaysia,781,181,552,1822,37,9,3382,
MDV,Maldives,7,dw,dw,dw,0,0,11,
MLI,Mali,326,30,26,168,26,22,598,
MLT,Malta,26,0,9,30,0,0,65,
MHL,Marshall Islands,dw,dw,0,0,0,dw,32,
MRT,Mauritania,127,16,16,151,6,1,317,
MUS,Mauritius,51,11,38,0,10,0,110,
MEX,Mexico,119541,34718,6078,1042,11,13144,174534,
FSM,Federated States of Micronesia,dw,0,0,0,dw,0,11,
MDA,Moldova,814,149,102,428,1435,1,2929,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
MCO,Monaco,4,dw,4,0,dw,0,11,
MNG,Mongolia,354,29,112,106,135,14,750,
MNE,Montenegro,261,94,11,9,8,4,387,"Does not include data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.1% of global US immigration in this year. See Serbia for inclusion of this data."
MSR,Montserrat,8,dw,0,0,dw,0,14,
MAR,Morocco,2958,421,152,21,1025,9,4586,
MOZ,Mozambique,37,3,8,53,0,0,101,
NAM,Namibia,31,dw,12,41,dw,0,87,
NPL,Nepal,2989,994,1386,4209,3242,31,12851,
NLD,Netherlands,683,39,542,9,43,3,1319,
NZL,New Zealand,484,35,234,dw,90,dw,846,
NIC,Nicaragua,2401,778,75,121,10,101,3486,
NER,Niger,86,8,12,0,13,0,119,
NGA,Nigeria,10914,2313,958,133,20,42,14380,
NOR,Norway,231,21,104,dw,dw,0,362,
OMN,Oman,27,24,35,17,12,1,116,
PAK,Pakistan,9272,7121,1992,887,10,31,19313,
PLW,Palau,dw,dw,0,0,0,0,14,
PAN,Panama,760,146,96,17,4,6,1029,
PNG,Papua New Guinea,13,dw,5,0,dw,0,23,
PRY,Paraguay,337,30,46,17,0,4,434,
PER,Peru,7425,2687,462,140,8,218,10940,
PHL,Philippines,30345,14857,7657,17,9,402,53287,
POL,Poland,3512,887,798,11,363,32,5603,
PRT,Portugal,704,62,197,15,18,10,1006,
QAT,Qatar,106,51,54,18,43,0,272,
ROU,Romania,2224,270,562,91,403,4,3554,
RUS,Russia,5349,571,1780,795,1819,25,10339,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.1% of global US immigration in this year. The included former Soviet Union data accounts for approximately 10.1% of the shown Russian data."
RWA,Rwanda,100,20,20,956,258,3,1357,
KNA,Saint Kitts and Nevis,172,74,4,0,0,0,250,
LCA,Saint Lucia,628,104,32,dw,dw,dw,777,
VCT,Saint Vincent and the Grenadines,314,75,28,dw,dw,1,422,
WSM,Samoa,211,dw,dw,0,0,0,219,
STP,Sao Tome and Principe,9,dw,dw,0,0,0,12,
SAU,Saudi Arabia,901,316,318,307,271,4,2117,
SEN,Senegal,1085,137,63,86,117,45,1533,
SRB,Serbia,957,115,158,78,239,6,1553,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.1% of global US immigration in this year. The included former country's data accounts for approximately 13.0% of the displayed Serbian data."
SYC,Seychelles,10,dw,dw,0,0,0,16,
SLE,Sierra Leone,949,128,10,121,324,3,1535,
SGP,Singapore,316,42,431,5,15,3,812,
SXM,Sint Maarten,33,0,6,3,0,0,42,"Does not include data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. See Aruba for inclusion of this data."
SVK,Slovakia,339,19,89,7,28,1,483,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.01% of global US immigration in this year. See Czechia for inclusion of this data."
SVN,Slovenia,69,dw,35,3,9,dw,119,
SOM,Somalia,1489,177,13,5199,80,0,6958,
ZAF,South Africa,1433,112,932,307,231,8,3023,
SSD,South Sudan,100,3,0,14,7,0,124,
ESP,Spain,1383,118,1321,540,151,6,3519,
LKA,Sri Lanka,634,254,477,241,296,11,1913,
SDN,Sudan,726,111,28,1037,1256,1,3159,
SUR,Suriname,97,44,9,dw,dw,0,156,
SWZ,Swaziland,dw,0,dw,0,dw,0,20,
SWE,Sweden,617,27,444,7,46,3,1144,
CHE,Switzerland,369,21,291,16,45,1,743,
SYR,Syria,1850,1170,241,1416,114,9,4800,
TWN,Taiwan,2052,841,2083,dw,137,dw,5120,
TJK,Tajikistan,179,29,52,42,289,2,593,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
TZA,Tanzania,420,51,59,226,28,4,788,
THA,Thailand,3612,300,362,2651,32,82,7039,
TGO,Togo,899,201,11,114,710,3,1938,
TON,Tonga,221,48,8,0,4,2,283,
TTO,Trinidad and Tobago,2556,614,242,5,21,31,3469,
TUN,Tunisia,366,17,55,14,64,2,518,
TUR,Turkey,1900,227,1154,179,1000,9,4469,
TKM,Turkmenistan,98,15,29,18,75,0,235,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
TCA,Turks and Caicos Islands,28,5,dw,dw,dw,0,39,
UGA,Uganda,663,86,109,623,152,16,1649,
UKR,Ukraine,5404,986,930,1175,1915,12,10422,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
ARE,United Arab Emirates,388,247,382,197,137,19,1370,
GBR,United Kingdom,6848,565,5132,28,76,24,12673,
USA,United States,364,dw,30,30,dw,28,468,
URY,Uruguay,763,31,112,33,4,29,972,
UZB,Uzbekistan,903,588,133,225,2500,10,4359,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Russia for inclusion of this data."
VEN,Venezuela,5490,818,2550,1135,724,55,10772,
VNM,Vietnam,18172,21845,1261,115,0,58,41451,
VGB,British Virgin Islands,27,8,5,0,0,0,40,
YEM,Yemen,8407,4049,26,134,421,3,13040,
ZMB,Zambia,280,22,78,91,15,1,487,
ZWE,Zimbabwe,399,76,143,123,66,8,815,
