ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote
EST,Estonia,182,11,35,18,11,3,19,260,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ETH,Ethiopia,6709,702,184,2664,3987,20,2548,14266,
FJI,Fiji,506,375,33,49,233,5,0,1201,
FIN,Finland,176,11,172,dw,33,dw,0,397,
FRA,France,1703,101,1738,25,273,21,0,3861,
PYF,French Polynesia,dw,0,dw,0,0,0,0,16,
GAB,Gabon,84,dw,dw,37,11,0,0,138,
GMB,Gambia,557,47,26,148,29,52,0,859,
GEO,Georgia,810,28,111,101,458,10,0,1518,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
DEU,Germany,3615,162,2106,46,919,40,0,6888,
GHA,Ghana,4393,527,265,135,2086,23,99,7429,
GRC,Greece,466,40,153,11,70,5,0,745,
GRD,Grenada,465,163,28,0,3,5,0,664,
GLP,Guadeloupe,18,dw,dw,0,0,0,0,34,
GTM,Guatemala,4094,2662,1095,644,dw,dw,49,10467,
GIN,Guinea,400,15,23,767,111,63,0,1379,
GNB,Guinea-Bissau,23,dw,dw,4,0,0,0,30,
GUY,Guyana,2824,3706,160,14,23,22,33,6749,
HTI,Haiti,10665,8492,179,2817,4,425,179,22582,
HND,Honduras,3727,1749,626,151,21,174,0,6448,
HKG,Hong Kong,731,1196,464,7,30,4,15,2432,
HUN,Hungary,705,36,180,13,81,7,0,1022,
ISL,Iceland,53,dw,dw,0,32,0,0,105,
IND,India,21831,14636,31118,1324,58,195,249,69162,
IDN,Indonesia,1461,306,515,573,138,39,0,3032,
IRN,Iran,4142,2731,1084,4735,1469,21,13,14182,
IRQ,Iraq,973,369,124,15855,32,2502,0,19855,
IRL,Ireland,986,8,436,dw,68,dw,0,1507,
ISR,Israel,2521,225,1584,46,106,33,0,4515,
ITA,Italy,1413,104,856,27,175,4,0,2579,
JAM,Jamaica,13781,5386,562,46,dw,dw,63,19825,
JPN,Japan,3916,120,1973,12,218,25,35,6264,
JOR,Jordan,2163,1019,227,372,63,24,0,3868,
KAZ,Kazakhstan,752,41,108,132,191,58,182,1282,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
KEN,Kenya,3048,254,391,1416,2279,33,16,7421,
PRK,North Korea,dw,dw,dw,20,0,0,0,35,
KOR,South Korea,8128,2351,11642,7,6,93,875,22227,
KOS,Kosovo,241,dw,dw,44,45,0,0,355,
KWT,Kuwait,450,247,150,133,53,4,0,1037,
KGZ,Kyrgyzstan,248,24,27,51,129,28,0,507,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LAO,Laos,847,113,59,172,4,5,0,1200,
LVA,Latvia,306,22,47,21,31,8,40,435,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LBN,Lebanon,1843,916,497,173,46,12,0,3487,
LSO,Lesotho,17,dw,dw,0,dw,0,12,23,
LBR,Liberia,1174,190,37,2658,762,16,40,4837,
LBY,Libya,190,34,32,26,73,0,0,355,
LTU,Lithuania,678,72,86,7,130,12,15,985,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LUX,Luxembourg,8,dw,11,dw,0,0,0,22,
MAC,Macau,34,84,18,0,7,0,0,143,
MKD,Macedonia,576,151,46,34,148,8,0,963,
MDG,Madagascar,36,dw,24,dw,17,0,0,80,
MWI,Malawi,118,11,18,3,11,3,0,164,
MYS,Malaysia,704,149,508,301,40,12,0,1714,
MLI,Mali,303,13,33,102,26,51,0,528,
MLT,Malta,19,3,17,31,4,0,0,74,
MHL,Marshall Islands,dw,0,dw,0,0,0,18,37,
MTQ,Martinique,9,0,dw,0,dw,0,0,15,
MRT,Mauritania,57,4,20,406,7,1,0,495,
MUS,Mauritius,32,8,19,5,20,0,0,84,
MEX,Mexico,88572,34114,11535,397,10,4492,59,139120,
FSM,Federated States of Micronesia,5,dw,dw,0,0,0,0,10,
MDA,Moldova,607,46,89,511,379,349,13,1981,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
MCO,Monaco,8,0,4,0,0,0,0,12,
MNG,Mongolia,320,5,66,121,80,2,0,594,
MNE,Montenegro,76,24,4,7,9,0,0,120,"Does not include data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.3% of global US immigration in this year. See Serbia for inclusion of this data."
MSR,Montserrat,20,3,dw,0,dw,0,0,27,
MAR,Morocco,2754,292,188,7,1753,19,33,5013,
MOZ,Mozambique,39,dw,9,dw,dw,0,0,53,
NAM,Namibia,40,dw,12,4,dw,0,0,60,
NPL,Nepal,1312,269,788,3093,1644,9,29,7115,
NLD,Netherlands,584,56,576,5,92,8,0,1321,
NZL,New Zealand,495,40,296,0,85,3,0,919,
NIC,Nicaragua,2202,984,86,121,13,159,12,3565,
NER,Niger,88,0,dw,0,dw,0,0,96,
NGA,Nigeria,7961,1412,845,168,2937,53,197,13376,
NOR,Norway,235,dw,77,dw,16,2,0,334,
OMN,Oman,22,14,23,dw,dw,0,0,63,
PAK,Pakistan,8522,6247,2896,507,14,72,40,18258,
PLW,Palau,12,0,3,0,3,0,0,18,
PAN,Panama,1148,221,120,26,16,5,0,1536,
PNG,Papua New Guinea,13,0,4,0,13,0,0,30,
PRY,Paraguay,303,26,110,13,12,3,0,467,
PER,Peru,9403,2926,1198,523,5,192,34,14247,
PHL,Philippines,33746,17849,6423,55,14,86,215,58173,
POL,Poland,4658,1510,1396,21,11,47,48,7643,
PRT,Portugal,509,63,162,dw,8,dw,0,755,
QAT,Qatar,63,28,36,6,11,4,0,148,
ROU,Romania,2457,326,777,74,357,12,0,4003,
RUS,Russia,7244,386,1684,1152,939,291,1079,11696,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.5% of global US immigration in this year. The included former Soviet Union data accounts for approximately 42.5% of the shown Russian data."
RWA,Rwanda,89,0,12,340,44,4,42,489,
KNA,Saint Kitts and Nevis,170,155,7,0,dw,dw,0,339,
LCA,Saint Lucia,670,164,30,dw,4,dw,0,872,
VCT,Saint Vincent and the Grenadines,423,122,17,0,5,9,0,576,
WSM,Samoa,185,20,5,0,7,2,0,219,
STP,Sao Tome and Principe,dw,dw,0,dw,0,0,0,10,
SAU,Saudi Arabia,623,279,171,82,95,13,0,1263,
SEN,Senegal,868,65,82,89,142,39,0,1285,
SRB,Serbia,1278,110,178,449,190,8,0,2216,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.3% of global US immigration in this year. The included former country's data accounts for approximately 99% of the displayed Serbian data."
SLE,Sierra Leone,929,104,62,484,415,17,12,2011,
SGP,Singapore,289,65,377,18,14,11,0,774,
SVK,Slovakia,333,15,149,3,37,1,0,538,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Czechia for inclusion of this data."
SVN,Slovenia,53,dw,14,dw,dw,0,0,74,
SOM,Somalia,725,35,10,3715,59,14,0,4558,
ZAF,South Africa,1277,82,1107,11,267,14,0,2758,
ESP,Spain,897,49,570,66,85,17,0,1684,
LKA,Sri Lanka,645,195,530,258,394,14,0,2036,
SDN,Sudan,778,52,29,1049,480,9,0,2397,
SUR,Suriname,127,59,19,dw,4,dw,0,216,
SWZ,Swaziland,17,dw,dw,dw,dw,0,0,22,
SWE,Sweden,581,26,416,3,61,10,0,1097,
CHE,Switzerland,293,16,281,dw,75,dw,0,675,
SYR,Syria,1215,797,258,230,44,11,0,2555,
TWN,Taiwan,2691,1729,2090,6,196,20,277,6732,
TJK,Tajikistan,106,18,22,36,116,1,0,299,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
TZA,Tanzania,525,77,134,1036,76,2,0,1850,
THA,Thailand,4126,345,530,4276,43,64,57,9384,
TGO,Togo,624,71,23,376,467,2,0,1563,
TON,Tonga,226,85,4,0,20,8,0,343,
TTO,Trinidad and Tobago,3882,1022,400,9,91,31,0,5435,
TUN,Tunisia,299,17,41,4,57,0,0,418,
TUR,Turkey,2037,174,1081,119,1053,19,0,4483,
TKM,Turkmenistan,81,6,7,58,71,1,0,224,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
TCA,Turks and Caicos Islands,18,5,5,0,0,1,0,29,
UGA,Uganda,502,61,94,289,134,5,64,1085,
UKR,Ukraine,4095,410,643,850,1758,721,445,8477,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ARE,United Arab Emirates,296,174,205,41,44,19,0,779,
GBR,United Kingdom,6438,538,5575,22,155,64,0,12792,
USA,United States,142,10,20,11,5,13,0,201,
URY,Uruguay,948,45,202,111,8,17,0,1331,
UZB,Uzbekistan,824,102,105,418,3279,42,0,4770,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
VEN,Venezuela,4323,550,2769,1314,415,38,0,9409,
VNM,Vietnam,11091,18027,360,1032,0,122,0,30632,
YEM,Yemen,2750,583,47,156,45,10,0,3591,
ZMB,Zambia,385,21,84,97,30,11,0,628,
ZWE,Zimbabwe,429,24,209,547,58,7,0,1274,
