ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote
GEO,Georgia,773,36,85,130,453,13,0,1490,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
DEU,Germany,3529,170,1543,49,795,39,0,6125,
GHA,Ghana,4379,871,264,97,3166,21,113,8798,
GRC,Greece,613,63,194,15,58,6,0,949,
GRD,Grenada,378,173,15,4,4,5,0,579,
GTM,Guatemala,4215,3739,dw,794,dw,1748,31,11092,
GIN,Guinea,421,89,28,719,246,52,0,1555,
GNB,Guinea-Bissau,17,3,3,6,0,0,0,29,
GUY,Guyana,2628,3753,158,11,27,22,47,6599,
HTI,Haiti,11056,8102,dw,2388,dw,452,155,22111,
HND,Honduras,3261,1879,483,220,23,267,12,6133,
HKG,Hong Kong,614,1199,460,3,23,7,10,2306,
HUN,Hungary,694,35,204,9,98,4,0,1044,
ISL,Iceland,56,0,26,0,6,2,0,90,
IND,India,20472,13527,33587,1217,51,159,226,69013,
IDN,Indonesia,1444,301,506,489,81,35,0,2856,
IRN,Iran,3779,2711,1151,5386,1783,12,0,14822,
IRQ,Iraq,826,292,107,19104,43,761,0,21133,
IRL,Ireland,877,20,374,4,94,2,0,1371,
ISR,Israel,2272,206,1165,64,97,22,0,3826,
ITA,Italy,1465,103,631,40,194,10,0,2443,
JAM,Jamaica,12882,6074,602,dw,dw,58,100,19662,
JPN,Japan,3760,166,2012,11,180,32,26,6161,
JOR,Jordan,2055,1068,194,489,54,16,0,3876,
KAZ,Kazakhstan,657,65,104,149,220,40,86,1235,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
KEN,Kenya,2936,312,363,1961,2154,36,0,7762,
PRK,North Korea,14,0,5,17,0,0,0,36,
KOR,South Korea,7637,2503,12593,10,10,71,741,22824,
KOS,Kosovo,395,54,16,126,78,1,0,670,
KWT,Kuwait,396,212,152,180,26,7,0,973,
KGZ,Kyrgyzstan,232,20,25,108,141,16,0,542,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
LAO,Laos,740,84,21,107,0,4,0,956,
LVA,Latvia,319,18,26,17,41,5,56,426,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
LBN,Lebanon,1578,901,450,316,42,8,0,3295,
LSO,Lesotho,17,dw,3,0,dw,0,10,25,
LBR,Liberia,1186,397,43,1615,900,10,36,4151,
LBY,Libya,234,19,39,23,41,1,0,357,
LTU,Lithuania,665,47,65,8,149,2,20,936,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
LUX,Luxembourg,12,dw,7,0,dw,0,0,24,
MAC,Macau,26,86,14,dw,dw,1,0,130,
MKD,Macedonia,588,210,52,35,183,10,0,1078,
MDG,Madagascar,37,6,17,11,12,0,0,83,
MWI,Malawi,78,13,14,4,13,1,0,123,
MYS,Malaysia,744,178,593,707,39,12,0,2273,
MLI,Mali,329,27,48,138,45,42,0,629,
MLT,Malta,16,dw,dw,19,0,0,0,51,
MHL,Marshall Islands,dw,0,dw,0,0,0,19,38,
MRT,Mauritania,63,24,5,294,6,1,0,393,
MUS,Mauritius,44,dw,28,dw,19,0,0,101,
MEX,Mexico,84280,43631,9164,605,12,5754,30,143446,
MDA,Moldova,674,57,80,601,507,339,10,2258,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
MNG,Mongolia,296,17,131,178,144,8,0,774,
MNE,Montenegro,118,46,7,30,3,0,0,204,"Does not include data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.2% of global US immigration in this year. See Serbia for inclusion of this data."
MSR,Montserrat,19,dw,dw,0,0,3,0,30,
MAR,Morocco,2469,335,139,16,1421,19,46,4399,
MOZ,Mozambique,38,dw,7,8,dw,0,0,60,
NAM,Namibia,29,0,7,3,3,1,0,43,
NPL,Nepal,1522,381,1148,5299,1801,15,64,10166,
NLD,Netherlands,554,dw,426,dw,61,7,0,1085,
NZL,New Zealand,459,36,195,0,108,5,0,803,
NIC,Nicaragua,2122,960,44,141,24,110,32,3401,
NER,Niger,84,3,0,0,9,0,0,96,
NGA,Nigeria,6955,1415,639,101,2672,42,152,11824,
NOR,Norway,220,18,76,4,21,0,0,339,
OMN,Oman,13,13,27,3,4,0,0,60,
PAK,Pakistan,6866,5555,2544,512,6,63,25,15546,
PAN,Panama,962,266,94,34,6,12,0,1374,
PNG,Papua New Guinea,14,dw,3,0,dw,0,0,20,
PRY,Paraguay,368,53,42,24,6,7,0,500,
PER,Peru,8786,3616,998,509,4,151,14,14064,
PHL,Philippines,29279,20191,7398,46,5,92,224,57011,
POL,Poland,4174,1646,970,20,17,36,55,6863,
PRT,Portugal,598,83,115,3,13,9,0,821,
QAT,Qatar,73,50,40,7,22,1,0,193,
ROU,Romania,2437,287,661,59,428,10,0,3882,
RUS,Russia,9732,492,1613,1682,1483,316,964,15318,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.4% of global US immigration in this year. The included former Soviet Union data accounts for approximately 24% of the shown Russian data."
RWA,Rwanda,104,dw,dw,335,67,3,57,520,
KNA,Saint Kitts and Nevis,159,178,dw,0,dw,1,0,350,
LCA,Saint Lucia,575,184,16,0,7,3,0,785,
VCT,Saint Vincent and the Grenadines,329,120,10,0,5,4,14,468,
WSM,Samoa,243,19,dw,0,dw,0,0,267,
SAU,Saudi Arabia,689,269,208,109,115,6,0,1396,
SEN,Senegal,949,125,94,109,111,36,0,1424,
SRB,Serbia,972,78,194,243,129,15,0,1642,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.2% of global US immigration in this year. The included former country's data accounts for approximately 85% of the displayed Serbian data."
SYC,Seychelles,7,5,3,0,0,0,0,15,
SLE,Sierra Leone,1059,173,51,364,321,17,10,1985,
SGP,Singapore,255,42,359,15,9,10,0,690,
SVK,Slovakia,382,25,149,0,36,2,0,594,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Czechia for inclusion of this data."
SVN,Slovenia,45,dw,18,3,dw,1,0,69,
SOM,Somalia,697,47,19,3622,56,10,0,4451,
ZAF,South Africa,1281,112,879,51,306,20,0,2649,
ESP,Spain,1013,87,568,124,85,13,0,1890,
LKA,Sri Lanka,515,225,513,418,378,4,0,2053,
SDN,Sudan,642,73,35,1428,445,5,0,2628,
SUR,Suriname,117,48,20,3,0,8,0,196,
SWZ,Swaziland,14,0,dw,dw,dw,0,0,19,
SWE,Sweden,561,26,327,9,48,8,0,979,
CHE,Switzerland,301,13,220,7,67,7,0,615,
SYR,Syria,1196,879,277,378,48,7,0,2785,
TWN,Taiwan,2363,1392,2163,dw,dw,10,205,6154,
TJK,Tajikistan,137,9,26,34,171,5,0,382,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
TZA,Tanzania,479,83,82,724,55,4,0,1427,
THA,Thailand,3658,426,474,5247,35,122,46,9962,
TGO,Togo,586,112,20,312,474,2,0,1506,
TON,Tonga,281,108,dw,0,dw,4,0,408,
TTO,Trinidad and Tobago,3453,1071,365,9,58,67,0,5023,
TUN,Tunisia,294,18,66,12,49,1,0,440,
TUR,Turkey,2015,199,1093,165,914,17,0,4403,
TKM,Turkmenistan,89,10,19,58,84,0,0,260,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
TCA,Turks and Caicos Islands,20,12,0,0,0,1,0,33,
UGA,Uganda,604,91,83,284,161,16,200,1239,
UKR,Ukraine,4118,603,589,833,1651,498,631,8292,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
ARE,United Arab Emirates,258,168,161,64,44,12,0,707,
GBR,United Kingdom,6143,630,4560,20,162,57,0,11572,
USA,United States,194,18,21,dw,dw,19,0,269,
URY,Uruguay,1172,51,139,155,7,29,0,1553,
UZB,Uzbekistan,749,135,103,472,3550,47,0,5056,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.4% of global US immigration in this year. See Russia for inclusion of this data."
VEN,Venezuela,4481,741,2148,1348,427,38,0,9183,
VNM,Vietnam,12551,19491,333,1703,4,75,0,34157,
YEM,Yemen,2260,823,40,199,38,1,0,3361,
ZMB,Zambia,405,31,81,93,38,4,15,652,
ZWE,Zimbabwe,410,54,130,318,88,16,0,1016,
