ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
MOZ,Mozambique,38,dw,22,dw,dw,2,0,66,
NAM,Namibia,31,0,11,11,0,0,0,53,
NPL,Nepal,1013,145,751,812,1778,15,0,4514,
NLD,Netherlands,750,42,607,6,87,7,0,1499,
NCL,New Caledonia,13,0,0,0,0,0,0,13,
NZL,New Zealand,585,22,264,dw,72,dw,0,947,
NIC,Nicaragua,2816,874,73,192,20,162,25,4137,
NER,Niger,156,3,5,5,14,0,0,183,
NGA,Nigeria,9086,1394,793,215,3720,45,122,15253,
NOR,Norway,267,7,114,dw,15,dw,0,407,
OMN,Oman,26,3,26,3,16,0,0,74,
PAK,Pakistan,8800,8694,3184,808,14,55,34,21555,
PLW,Palau,dw,dw,dw,0,0,0,0,16,
PAN,Panama,1390,252,96,54,9,5,0,1806,
PNG,Papua New Guinea,14,0,dw,0,dw,0,0,19,
PRY,Paraguay,402,28,76,19,3,2,0,530,
PER,Peru,11900,2714,1361,887,5,90,29,16957,
PHL,Philippines,37037,14286,8516,108,4,78,292,60029,
POL,Poland,5688,1619,1351,30,11,55,52,8754,
PRT,Portugal,694,80,147,7,12,6,0,946,
QAT,Qatar,72,17,28,14,3,0,0,134,
ROU,Romania,3163,250,962,126,389,20,0,4910,
RUS,Russia,8505,282,2148,2627,218,369,1580,14149,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.6% of global US immigration in this year. The included former Soviet Union data accounts for approximately 42% of the shown Russian data."
RWA,Rwanda,53,0,5,865,29,0,20,952,
KNA,Saint Kitts and Nevis,194,101,dw,0,dw,0,0,310,
LCA,Saint Lucia,821,172,29,0,4,1,0,1027,
VCT,Saint Vincent and the Grenadines,448,126,dw,0,dw,0,12,591,
WSM,Samoa,219,19,5,0,6,1,0,250,
STP,Sao Tome and Principe,7,dw,0,dw,0,0,0,11,
SAU,Saudi Arabia,687,279,226,117,104,5,0,1418,
SEN,Senegal,1055,68,78,162,129,32,0,1524,
SRB,Serbia,1782,132,255,684,297,16,0,3166,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.3% of global US immigration in this year. The included former country's data accounts for approximately 100% of the displayed Serbian data."
SYC,Seychelles,6,0,dw,dw,dw,0,0,10,
SLE,Sierra Leone,905,90,26,1147,499,20,0,2687,
SGP,Singapore,339,42,426,6,15,4,0,832,
SVK,Slovakia,447,20,184,3,49,3,0,706,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Czechia for inclusion of this data."
SVN,Slovenia,76,0,20,6,5,1,0,108,
SOM,Somalia,665,30,11,12628,42,14,0,13390,
ZAF,South Africa,1497,71,1307,14,272,10,0,3171,
ESP,Spain,995,26,598,86,60,4,0,1769,
LKA,Sri Lanka,576,128,506,271,524,4,0,2009,
SDN,Sudan,685,31,28,2380,443,10,0,3577,
SUR,Suriname,142,52,dw,dw,0,1,0,227,
SWZ,Swaziland,29,dw,8,dw,dw,0,14,42,
SWE,Sweden,647,29,403,9,47,3,0,1138,
CHE,Switzerland,346,21,335,10,81,5,0,798,
SYR,Syria,1213,652,372,173,25,7,0,2442,
TWN,Taiwan,3372,1884,2519,5,251,7,254,8038,
TJK,Tajikistan,110,6,14,45,79,11,0,265,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
TZA,Tanzania,473,78,120,2008,90,4,0,2773,
THA,Thailand,4733,218,585,4827,49,32,59,10444,
TGO,Togo,476,74,18,698,411,3,0,1680,
TON,Tonga,256,84,3,0,29,7,0,379,
TTO,Trinidad and Tobago,4562,1199,382,15,66,32,0,6256,
TUN,Tunisia,297,11,50,7,48,3,0,416,
TUR,Turkey,2325,163,1295,129,1036,10,0,4958,
TKM,Turkmenistan,104,dw,dw,87,71,1,0,290,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
TCA,Turks and Caicos Islands,25,6,0,0,0,0,0,31,
UGA,Uganda,553,72,114,461,158,6,67,1364,
UKR,Ukraine,4340,306,808,2964,1579,1226,605,11223,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
ARE,United Arab Emirates,250,150,185,53,55,4,0,697,
GBR,United Kingdom,8024,474,7044,14,136,56,0,15748,
USA,United States,104,14,23,14,4,22,0,181,
URY,Uruguay,1363,50,196,161,3,2,0,1775,
UZB,Uzbekistan,835,41,118,1951,2492,30,0,5467,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
VEN,Venezuela,5435,395,2915,2152,227,30,0,11154,
VNM,Vietnam,13038,12748,dw,2535,dw,498,490,29234,
YEM,Yemen,2510,363,28,186,40,7,0,3134,
ZMB,Zambia,474,22,86,70,44,8,10,704,
ZWE,Zimbabwe,467,13,217,210,66,10,0,983,
