ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
CAF,Central African Republic,dw,0,dw,38,0,0,0,52,
TCD,Chad,26,0,0,45,3,0,0,74,
CHL,Chile,1470,217,451,89,32,15,0,2274,
CHN,China,27115,15261,13886,20352,22,19,5397,76655,
COL,Colombia,17174,3177,2641,10091,11,93,311,33187,
COD,Congo (Kinshasa),82,24,14,802,207,0,0,1129,
COG,Congo (Brazzaville),156,21,23,643,126,3,0,972,
CRI,Costa Rica,1979,217,238,83,6,17,0,2540,
CIV,Cote d'Ivoire,598,68,61,274,147,45,0,1193,
HRV,Croatia,275,16,82,81,24,4,0,482,
CUB,Cuba,2737,1794,14,24261,229,69,0,29104,
CYP,Cyprus,73,5,53,0,5,1,0,137,
CZE,Czechia,902,22,241,16,33,0,0,1214,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 76.5% of the displayed Czech data.
"
DNK,Denmark,266,dw,221,dw,15,4,0,517,
DJI,Djibouti,7,dw,dw,7,6,0,0,23,
DMA,Dominica,331,93,4,0,0,0,0,428,
DOM,Dominican Republic,14360,13250,308,dw,dw,44,25,28024,
ECU,Ecuador,6848,2657,2429,128,107,79,18,12248,
EGY,Egypt,2648,778,731,1245,3826,39,0,9267,
SLV,El Salvador,6240,6145,1276,493,0,6973,17,21127,
ERI,Eritrea,350,33,23,503,170,2,0,1081,
EST,Estonia,241,5,43,56,18,5,21,368,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ETH,Ethiopia,4940,442,120,3851,3419,14,1203,12786,
FJI,Fiji,546,435,36,310,299,11,0,1637,
FIN,Finland,173,7,226,0,19,1,0,426,
FRA,France,1806,107,1234,51,206,19,0,3423,
PYF,French Polynesia,dw,dw,dw,0,0,1,0,27,
GAB,Gabon,55,5,3,19,12,1,0,95,
GMB,Gambia,467,33,38,192,8,88,0,826,
GEO,Georgia,599,9,116,607,212,11,0,1554,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
DEU,Germany,4370,218,2288,99,580,27,0,7582,
GHA,Ghana,5227,771,365,93,1135,19,33,7610,
GRC,Greece,494,60,221,34,67,6,0,882,
GRD,Grenada,524,165,dw,dw,dw,0,0,751,
GLP,Guadeloupe,28,5,dw,dw,0,2,0,38,
GTM,Guatemala,8972,2641,801,1061,7,4426,4721,17908,
GIN,Guinea,319,29,42,603,49,46,0,1088,
GNB,Guinea-Bissau,16,0,dw,dw,0,1,0,25,
GUY,Guyana,2577,2868,241,32,5,3,21,5726,
HTI,Haiti,13569,8028,102,6261,0,2445,192,30405,
HND,Honduras,4308,2303,599,219,11,206,20,7646,
HKG,Hong Kong,910,1818,749,5,34,11,18,3527,
HUN,Hungary,855,32,286,13,75,5,13,1266,
ISL,Iceland,66,0,24,0,5,0,0,95,
IND,India,18205,15551,28703,2680,57,157,420,65353,
IDN,Indonesia,1381,168,742,1255,130,40,0,3716,
IRN,Iran,4257,2260,720,2570,639,14,15,10460,
IRQ,Iraq,1023,778,481,1422,30,31,0,3765,
IRL,Ireland,991,10,436,5,55,6,0,1503,
ISR,Israel,2885,188,1256,50,100,17,0,4496,
ITA,Italy,1602,120,736,34,66,11,0,2569,
JAM,Jamaica,13602,4988,732,dw,dw,41,42,19375,
JPN,Japan,4088,137,2285,15,201,22,35,6748,
JOR,Jordan,2354,1211,231,76,26,19,0,3917,
KAZ,Kazakhstan,1035,21,85,290,111,62,547,1604,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
KEN,Kenya,2330,212,501,2187,1787,13,21,7030,
KIR,Kiribati,7,dw,0,0,dw,0,0,10,
KOR,South Korea,8848,2222,11308,dw,dw,15,945,22405,Includes data for North Korea (combined with South Korea in datasets prior to 2009).
KWT,Kuwait,417,296,196,82,24,2,0,1017,
KGZ,Kyrgyzstan,290,9,29,160,84,25,60,597,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LAO,Laos,952,119,dw,1472,dw,3,0,2575,
LVA,Latvia,370,10,56,90,36,6,27,568,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LBN,Lebanon,2492,929,642,154,43,7,0,4267,
LSO,Lesotho,dw,dw,0,dw,0,0,0,14,
LBR,Liberia,1259,288,47,1949,550,9,296,4102,
LBY,Libya,105,18,32,15,16,0,0,186,
LTU,Lithuania,890,42,163,56,206,4,27,1361,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
LUX,Luxembourg,18,dw,17,dw,dw,0,0,39,
MAC,Macau,39,123,dw,0,dw,0,0,178,
MKD,Macedonia,636,227,70,93,194,7,0,1227,
MDG,Madagascar,33,dw,14,3,dw,0,0,53,
MWI,Malawi,76,6,28,4,7,2,0,123,
MYS,Malaysia,877,180,1009,44,34,5,0,2149,
MLI,Mali,269,11,16,61,19,36,0,412,
MLT,Malta,25,10,18,0,0,0,0,53,
MHL,Marshall Islands,45,0,3,0,0,0,0,48,
MTQ,Martinique,17,dw,dw,0,dw,1,0,23,
MRT,Mauritania,64,3,dw,581,dw,0,0,651,
MUS,Mauritius,44,dw,31,6,dw,1,0,88,
MEX,Mexico,87466,45422,11900,396,10,3446,96,148640,
MDA,Moldova,395,8,53,555,184,161,17,1356,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
MNG,Mongolia,262,0,75,132,61,0,0,530,
MSR,Montserrat,47,13,4,0,0,2,0,66,
MAR,Morocco,2160,229,212,35,1869,8,0,4513,
MOZ,Mozambique,28,dw,15,28,dw,0,0,81,
NAM,Namibia,29,0,18,5,5,0,0,57,
NPL,Nepal,643,128,837,683,1175,6,43,3472,
NLD,Netherlands,684,39,581,10,50,4,0,1368,
NZL,New Zealand,599,43,309,0,93,3,0,1047,
NIC,Nicaragua,2312,970,57,133,9,235,25,3716,
NER,Niger,73,5,4,3,12,0,0,97,
NGA,Nigeria,7462,963,916,345,2726,36,35,12448,
NOR,Norway,227,dw,86,dw,16,2,0,343,
OMN,Oman,17,11,64,6,4,1,0,103,
PAK,Pakistan,5868,3209,3257,1087,3,68,35,13492,
PLW,Palau,dw,0,dw,0,0,0,0,11,
PAN,Panama,1472,271,117,41,11,4,0,1916,
PNG,Papua New Guinea,19,dw,dw,0,6,0,0,31,
PRY,Paraguay,345,36,137,16,8,3,0,545,
PER,Peru,10841,2676,1688,919,1482,93,37,17699,
PHL,Philippines,41416,13535,17182,372,4,87,259,72596,
POL,Poland,5545,2345,2095,34,280,56,91,10355,
PRT,Portugal,672,149,179,6,5,8,0,1019,
QAT,Qatar,43,40,43,4,8,0,0,138,
ROU,Romania,3115,296,1234,175,962,20,0,5802,
RUS,Russia,8653,200,1600,3541,199,323,2301,14516,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.5% of global US immigration in this year. The included former Soviet Union data accounts for approximately 35% of the shown Russian data."
RWA,Rwanda,43,0,18,282,14,0,0,357,
KNA,Saint Kitts and Nevis,165,168,12,0,0,2,0,347,
LCA,Saint Lucia,702,167,dw,0,dw,1,0,928,
VCT,Saint Vincent and the Grenadines,387,146,34,0,0,0,0,567,
WSM,Samoa,258,24,dw,0,dw,0,0,290,
SAU,Saudi Arabia,480,182,327,110,66,6,0,1171,
SEN,Senegal,676,43,98,125,72,10,0,1024,
SRB,Serbia,1666,146,210,1226,309,29,0,3586,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.4% of global US immigration in this year. The included former country's data accounts for approximately 100% of the displayed Serbian data."
SLE,Sierra Leone,682,122,75,901,208,11,16,1999,
SGP,Singapore,333,67,552,17,12,4,0,985,
SVK,Slovakia,443,dw,190,dw,98,2,0,763,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. See Czechia for inclusion of this data."
SVN,Slovenia,67,3,13,dw,dw,0,0,87,
SLB,Solomon Islands,7,0,3,0,0,0,0,10,
SOM,Somalia,467,27,14,5721,21,1,0,6251,
ZAF,South Africa,1329,101,1350,40,160,8,0,2988,
ESP,Spain,952,48,458,68,46,6,0,1578,
LKA,Sri Lanka,502,236,615,236,237,5,0,1831,
SDN,Sudan,569,52,33,1944,329,3,0,2930,
SUR,Suriname,108,52,21,dw,dw,4,0,197,
SWZ,Swaziland,8,0,dw,0,dw,0,0,13,
SWE,Sweden,645,34,381,9,69,7,0,1145,
CHE,Switzerland,364,16,266,11,42,6,0,705,
SYR,Syria,1231,687,268,180,17,2,0,2385,
TWN,Taiwan,3065,3052,2598,8,258,9,182,8990,
TJK,Tajikistan,66,5,22,52,26,1,0,172,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
TZA,Tanzania,429,68,125,91,118,1,0,832,
THA,Thailand,4066,356,639,3631,38,21,63,8751,
TGO,Togo,285,27,37,724,485,7,0,1565,
TON,Tonga,243,163,dw,dw,23,4,0,438,
TTO,Trinidad and Tobago,4659,1477,590,17,57,29,0,6829,
TUN,Tunisia,288,24,44,5,54,2,0,417,
TUR,Turkey,1907,248,1383,153,724,10,0,4425,
TKM,Turkmenistan,62,3,4,105,43,0,0,217,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
TCA,Turks and Caicos Islands,18,dw,7,dw,0,0,0,31,
UGA,Uganda,431,60,114,425,91,1,52,1122,
UKR,Ukraine,4101,197,753,2322,2798,830,604,11001,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ARE,United Arab Emirates,205,189,280,35,41,8,0,758,
GBR,United Kingdom,7913,647,5821,22,96,46,0,14545,
USA,United States,119,18,12,dw,dw,12,0,171,
URY,Uruguay,1088,dw,207,70,dw,3,0,1418,
UZB,Uzbekistan,688,39,112,2792,964,70,10,4665,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
VEN,Venezuela,5469,618,2352,2056,167,30,0,10692,
VNM,Vietnam,13974,12430,dw,1768,dw,317,826,28691,
YEM,Yemen,1796,295,44,245,13,3,0,2396,
ZMB,Zambia,336,31,124,56,26,3,28,576,
ZWE,Zimbabwe,445,30,224,315,43,0,0,1057,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
