ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote
CUB,Cuba,2586,3701,5,40086,287,14,0,46679,
CUW,Curacao,11,7,6,0,3,0,0,27,"Does not include data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. See Aruba for inclusion of this data."
CYP,Cyprus,69,6,44,3,7,0,0,129,
CZE,Czechia,452,26,146,11,32,9,0,680,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.01% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 11% of the displayed Czech data."
DNK,Denmark,228,18,233,4,26,5,0,514,
DJI,Djibouti,38,dw,0,124,dw,0,0,190,
DMA,Dominica,125,212,dw,0,5,dw,0,345,
DOM,Dominican Republic,19000,25025,293,111,6,142,0,44577,
ECU,Ecuador,4873,4609,906,dw,dw,414,0,10960,
EGY,Egypt,2774,1027,722,3462,3462,30,0,11477,
SLV,El Salvador,8013,8176,963,386,0,1735,0,19273,
GNQ,Equatorial Guinea,9,0,0,6,0,0,0,15,
ERI,Eritrea,507,136,dw,1154,194,dw,0,2002,
EST,Estonia,156,8,32,dw,19,dw,0,220,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
ETH,Ethiopia,4271,1310,182,4020,2494,23,681,12300,
FJI,Fiji,274,262,23,29,211,3,0,802,
FIN,Finland,179,dw,141,dw,22,dw,0,350,
FRA,France,1968,148,1837,26,289,16,0,4284,
PYF,French Polynesia,dw,dw,dw,0,0,dw,0,24,
GAB,Gabon,82,12,9,39,22,3,0,167,
GMB,Gambia,623,106,12,308,16,46,0,1111,
GEO,Georgia,656,82,57,72,361,12,0,1240,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
DEU,Germany,3167,193,1602,42,548,32,0,5584,
GHA,Ghana,4266,926,280,65,1556,22,109,7115,
GRC,Greece,800,53,243,8,122,9,0,1235,
GRD,Grenada,441,151,27,dw,dw,7,0,633,
GTM,Guatemala,4092,3015,904,675,37,1515,30,10238,
GIN,Guinea,428,99,15,544,251,38,0,1375,
GNB,Guinea-Bissau,24,dw,0,dw,0,0,0,30,
GUY,Guyana,1958,4179,87,9,12,22,33,6267,
HTI,Haiti,6617,6998,110,1344,0,205,414,15274,
HND,Honduras,4447,2214,739,244,30,482,17,8156,
HKG,Hong Kong,619,907,687,16,42,7,28,2278,
HUN,Hungary,642,34,196,19,100,5,22,996,
ISL,Iceland,37,dw,36,0,dw,0,0,86,
IND,India,19056,16309,40980,877,40,646,134,77908,
IDN,Indonesia,1152,198,468,242,50,29,0,2139,
IRN,Iran,2729,2224,1215,2521,2897,29,0,11615,
IRQ,Iraq,606,271,68,14582,50,3576,0,19153,
IRL,Ireland,935,22,571,dw,69,dw,0,1605,
ISR,Israel,2115,247,1277,29,111,26,0,3805,
ITA,Italy,1812,155,944,102,273,12,0,3298,
JAM,Jamaica,11917,6379,629,44,4,53,49,19026,
JPN,Japan,2949,170,2134,13,247,32,20,5545,
JOR,Jordan,2690,1625,231,453,168,20,0,5187,
KAZ,Kazakhstan,566,75,113,168,289,10,0,1221,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
KEN,Kenya,2711,459,363,1019,1298,34,0,5884,
PRK,North Korea,55,20,44,23,0,0,0,142,
KOR,South Korea,6872,1565,11875,8,10,93,373,20423,
KOS,Kosovo,424,118,13,101,99,3,0,758,
KWT,Kuwait,389,256,184,149,71,8,0,1057,
KGZ,Kyrgyzstan,214,48,24,209,208,4,0,707,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
LAO,Laos,673,44,27,59,0,3,0,806,
LVA,Latvia,254,32,35,14,45,4,61,384,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
LBN,Lebanon,1527,1092,355,194,67,10,0,3245,
LSO,Lesotho,dw,dw,dw,dw,4,0,0,13,
LBR,Liberia,1265,408,14,543,1638,6,14,3874,
LBY,Libya,200,dw,42,169,88,dw,0,524,
LTU,Lithuania,485,58,59,5,133,7,14,747,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
LUX,Luxembourg,12,dw,6,dw,dw,dw,0,26,
MAC,Macau,33,46,23,0,3,0,0,105,
MKD,Macedonia,537,169,44,dw,179,dw,0,960,
MDG,Madagascar,44,dw,23,dw,13,0,0,86,
MWI,Malawi,99,10,24,9,22,8,0,172,
MYS,Malaysia,702,199,534,1151,29,7,0,2622,
MDV,Maldives,dw,0,dw,dw,9,0,0,13,
MLI,Mali,306,36,21,173,31,37,0,604,
MLT,Malta,19,0,14,6,0,0,0,39,
MHL,Marshall Islands,51,dw,dw,0,dw,0,29,56,
MRT,Mauritania,89,16,10,199,dw,dw,0,320,
MUS,Mauritius,32,12,30,0,3,4,0,81,
MEX,Mexico,81576,33988,7240,618,11,10619,19,134052,
MDA,Moldova,693,113,77,400,1032,26,0,2341,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
MNG,Mongolia,269,34,103,158,75,12,0,651,
MNE,Montenegro,182,61,dw,24,14,dw,0,289,"Does not include data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.1% of global US immigration in this year. See Serbia for inclusion of this data."
MSR,Montserrat,dw,19,dw,0,0,0,0,38,
MAR,Morocco,2054,480,140,16,898,17,45,3605,
MOZ,Mozambique,24,3,4,34,0,6,0,71,
NAM,Namibia,28,3,10,dw,dw,0,0,44,
NPL,Nepal,1610,806,946,5516,3443,36,0,12357,
NLD,Netherlands,564,47,501,dw,73,dw,0,1195,
NZL,New Zealand,429,39,209,0,114,5,0,796,
NIC,Nicaragua,1800,795,67,115,9,100,30,2886,
NER,Niger,41,11,dw,dw,16,0,0,71,
NGA,Nigeria,7147,1882,884,126,2740,49,138,12828,
NOR,Norway,186,11,64,dw,dw,0,0,271,
OMN,Oman,27,20,26,5,8,4,0,90,
PAK,Pakistan,7377,8191,2242,703,20,79,34,18612,
PLW,Palau,9,dw,dw,0,0,0,0,12,
PAN,Panama,756,229,68,21,12,9,0,1095,
PNG,Papua New Guinea,12,dw,3,0,dw,0,0,18,
PRY,Paraguay,294,33,41,dw,dw,14,0,391,
PER,Peru,6397,3095,702,190,3,219,27,10606,
PHL,Philippines,24782,16644,8340,44,5,181,167,49996,
POL,Poland,3083,954,1076,14,519,43,52,5689,
PRT,Portugal,579,84,178,11,33,7,0,892,
QAT,Qatar,62,55,34,10,41,0,0,202,
ROU,Romania,1944,242,545,53,447,15,0,3246,
RUS,Russia,5296,593,1326,1162,1802,36,0,10215,"Includes data for the former Soviet Union (dissolved in 1991), which accounted for less than 0.2% of global US immigration in this year. The included former Soviet Union data accounts for approximately 11% of the shown Russian data."
RWA,Rwanda,51,19,13,334,138,0,0,555,
KNA,Saint Kitts and Nevis,138,112,10,0,0,3,0,263,
LCA,Saint Lucia,549,252,15,dw,14,dw,0,844,
VCT,Saint Vincent and the Grenadines,298,128,11,0,3,8,11,448,
WSM,Samoa,214,21,dw,0,dw,dw,0,239,
SAU,Saudi Arabia,715,333,225,174,239,10,0,1696,
SEN,Senegal,809,164,63,77,103,57,0,1273,
SRB,Serbia,837,84,161,124,199,5,0,1410,"Includes data for the former Serbia and Montenegro (dissolved in 2006), which accounted for less than 0.1% of global US immigration in this year. The included former country's data accounts for approximately 20% of the displayed Serbian data."
SLE,Sierra Leone,724,158,48,119,686,5,25,1740,
SGP,Singapore,302,51,375,16,28,7,0,779,
SXM,Sint Maarten,23,dw,dw,dw,0,0,0,45,"Does not include data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. See Aruba for inclusion of this data."
SVK,Slovakia,280,30,115,4,31,0,0,460,"Does not include data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.01% of global US immigration in this year. See Czechia for inclusion of this data."
SVN,Slovenia,54,dw,17,dw,3,0,0,78,
SOM,Somalia,1645,176,dw,3276,79,dw,0,5190,
ZAF,South Africa,1147,116,1020,116,262,15,24,2676,
SSD,South Sudan,54,dw,0,dw,0,0,0,74,
ESP,Spain,1255,115,997,377,170,14,0,2928,
LKA,Sri Lanka,502,246,485,243,284,7,0,1767,
SDN,Sudan,529,129,dw,1161,592,dw,0,2442,
SUR,Suriname,83,58,12,dw,0,dw,0,158,
SWZ,Swaziland,16,dw,dw,dw,dw,0,0,23,
SWE,Sweden,495,25,381,3,44,6,0,954,
CHE,Switzerland,305,16,254,11,62,8,0,656,
SYR,Syria,1573,985,212,652,105,13,0,3540,
TWN,Taiwan,1921,921,1680,dw,155,dw,69,4697,
TJK,Tajikistan,188,dw,36,43,220,dw,0,516,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
TZA,Tanzania,398,50,71,208,37,10,0,774,
THA,Thailand,3064,313,377,2202,16,225,28,6197,
TGO,Togo,690,180,9,163,554,16,0,1612,
TON,Tonga,204,110,0,0,dw,dw,0,320,
TTO,Trinidad and Tobago,2677,913,244,7,68,79,0,3988,
TUN,Tunisia,290,dw,37,29,44,dw,0,429,
TUR,Turkey,1645,208,897,139,931,14,0,3834,
TKM,Turkmenistan,87,dw,22,21,105,dw,0,254,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
TCA,Turks and Caicos Islands,30,6,dw,dw,0,0,0,40,
UGA,Uganda,662,97,115,331,198,6,200,1409,
UKR,Ukraine,3886,837,659,518,1790,62,409,7752,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
ARE,United Arab Emirates,284,235,265,112,124,19,0,1039,
GBR,United Kingdom,6526,594,4888,23,131,63,0,12225,
USA,United States,274,21,26,16,3,18,0,358,
URY,Uruguay,856,44,114,53,8,53,0,1128,
UZB,Uzbekistan,796,399,99,345,3504,51,0,5194,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
VEN,Venezuela,3667,749,2039,1214,684,74,0,8427,
VNM,Vietnam,10922,18603,549,155,3,51,0,30283,
YEM,Yemen,2379,665,dw,145,241,dw,0,3492,
ZMB,Zambia,266,29,50,67,26,3,0,441,
ZWE,Zimbabwe,330,60,145,197,51,14,0,797,
